mepid,result,eugroup,identifier
840,attended,Renew,176184
1294,attended,S&D,176184
1909,attended,S&D,176184
1917,attended,EPP,176184
1927,attended,EPP,176184
2152,attended,Greens/EFA,176184
2268,attended,GUE/NGL,176184
2341,attended,EPP,176184
4267,attended,S&D,176184
4289,attended,EPP,176184
4395,attended,ECR,176184
4746,attended,ECR,176184
5392,attended,S&D,176184
5729,attended,S&D,176184
5736,attended,Patriots,176184
22418,attended,EPP,176184
22858,attended,Renew,176184
23699,attended,NA,176184
23781,attended,EPP,176184
23788,attended,ECR,176184
23816,attended,Patriots,176184
24922,attended,EPP,176184
24942,attended,Greens/EFA,176184
25758,attended,NA,176184
28122,attended,EPP,176184
28150,attended,Patriots,176184
28219,attended,EPP,176184
28223,attended,EPP,176184
28226,attended,EPP,176184
28307,attended,S&D,176184
28347,attended,S&D,176184
28390,attended,EPP,176184
28399,excused,EPP,176184
28400,attended,EPP,176184
28419,attended,S&D,176184
28617,attended,EPP,176184
30482,attended,GUE/NGL,176184
33998,attended,S&D,176184
34232,attended,S&D,176184
36392,attended,Patriots,176184
37312,attended,S&D,176184
37324,attended,EPP,176184
38511,attended,Patriots,176184
38542,attended,S&D,176184
39725,attended,EPP,176184
40224,attended,S&D,176184
40599,attended,EPP,176184
72779,attended,EPP,176184
86057,attended,EPP,176184
86793,attended,Greens/EFA,176184
88552,attended,Patriots,176184
88882,attended,S&D,176184
91636,attended,S&D,176184
94649,attended,Patriots,176184
95074,attended,EPP,176184
96668,attended,EPP,176184
96675,attended,Greens/EFA,176184
96681,attended,S&D,176184
96697,attended,ECR,176184
96709,attended,Renew,176184
96711,attended,Renew,176184
96752,attended,Greens/EFA,176184
96756,excused,EPP,176184
96780,attended,EPP,176184
96787,attended,EPP,176184
96791,attended,EPP,176184
96808,attended,EPP,176184
96810,attended,ECR,176184
96812,attended,S&D,176184
96830,attended,Patriots,176184
96833,attended,S&D,176184
96934,attended,EPP,176184
96940,attended,Renew,176184
96998,attended,S&D,176184
97236,attended,Greens/EFA,176184
97399,attended,EPP,176184
97968,attended,EPP,176184
98341,attended,EPP,176184
98582,attended,EPP,176184
99878,attended,ECR,176184
101039,attended,Patriots,176184
101585,attended,S&D,176184
103246,attended,Patriots,176184
106936,attended,Greens/EFA,176184
107212,attended,EPP,176184
111412,attended,Greens/EFA,176184
112744,attended,S&D,176184
112747,attended,S&D,176184
112748,attended,S&D,176184
113523,attended,EPP,176184
118859,attended,EPP,176184
118949,attended,PfE,176184
119435,attended,EPP,176184
119652,attended,S&D,176184
122978,attended,S&D,176184
123562,attended,ECR,176184
124691,attended,S&D,176184
124700,attended,Renew,176184
124701,attended,EPP,176184
124713,attended,EPP,176184
124760,attended,ECR,176184
124766,attended,Renew,176184
124795,attended,EPP,176184
124799,attended,S&D,176184
124802,attended,EPP,176184
124807,attended,EPP,176184
124808,attended,EPP,176184
124813,attended,GUE/NGL,176184
124834,attended,NA,176184
124836,attended,S&D,176184
124846,attended,S&D,176184
124858,attended,NA,176184
124861,attended,EPP,176184
124866,attended,Renew,176184
124867,attended,S&D,176184
124875,attended,Patriots,176184
124877,attended,ECR,176184
124884,attended,ECR,176184
124893,attended,EPP,176184
124895,attended,EPP,176184
124984,attended,GUE/NGL,176184
124985,excused,GUE/NGL,176184
125001,attended,Patriots,176184
125012,attended,EPP,176184
125023,excused,GUE/NGL,176184
125027,attended,EPP,176184
125042,attended,S&D,176184
125046,attended,S&D,176184
125052,attended,Patriots,176184
125068,attended,EPP,176184
125093,attended,NA,176184
125104,attended,EPP,176184
125204,attended,EPP,176184
125325,attended,EPP,176184
125670,attended,EPP,176184
126699,attended,Patriots,176184
127766,attended,GUE/NGL,176184
128483,attended,ESN,176184
129073,attended,Renew,176184
130100,attended,Renew,176184
131580,attended,Patriots,176184
183916,attended,Greens/EFA,176184
185619,attended,S&D,176184
185771,attended,Patriots,176184
187917,attended,GUE/NGL,176184
188096,attended,EPP,176184
188945,attended,EPP,176184
189065,attended,Patriots,176184
190464,attended,Greens/EFA,176184
190574,attended,ESN,176184
190713,attended,EPP,176184
191693,attended,Renew,176184
192254,attended,Patriots,176184
193292,attended,Greens/EFA,176184
197391,attended,S&D,176184
197392,attended,S&D,176184
197395,attended,Greens/EFA,176184
197398,attended,Greens/EFA,176184
197400,attended,Renew,176184
197401,attended,Renew,176184
197402,attended,EPP,176184
197403,attended,S&D,176184
197404,attended,EPP,176184
197405,attended,EPP,176184
197406,attended,EPP,176184
197410,attended,EPP,176184
197412,attended,EPP,176184
197413,attended,EPP,176184
197414,attended,EPP,176184
197416,attended,GUE/NGL,176184
197417,attended,EPP,176184
197421,attended,EPP,176184
197422,attended,EPP,176184
197425,attended,EPP,176184
197429,attended,EPP,176184
197430,attended,Renew,176184
197432,attended,Renew,176184
197435,attended,S&D,176184
197439,attended,Greens/EFA,176184
197440,attended,S&D,176184
197443,attended,Renew,176184
197444,attended,Renew,176184
197445,attended,Renew,176184
197447,attended,Renew,176184
197448,attended,Greens/EFA,176184
197449,attended,Greens/EFA,176184
197461,attended,Greens/EFA,176184
197462,attended,Greens/EFA,176184
197463,attended,Renew,176184
197464,attended,Greens/EFA,176184
197466,attended,Greens/EFA,176184
197470,attended,Greens/EFA,176184
197473,attended,EPP,176184
197475,attended,ESN,176184
197490,attended,EPP,176184
197491,attended,S&D,176184
197492,attended,EPP,176184
197497,attended,S&D,176184
197498,attended,S&D,176184
197500,attended,Greens/EFA,176184
197501,attended,ECR,176184
197502,attended,Renew,176184
197514,attended,EPP,176184
197517,attended,EPP,176184
197523,attended,EPP,176184
197525,attended,EPP,176184
197528,attended,Patriots,176184
197529,attended,GUE/NGL,176184
197533,attended,GUE/NGL,176184
197534,attended,EPP,176184
197537,attended,ECR,176184
197545,attended,ECR,176184
