party,dxid,acronym,country,q,picture,twitter,meps,eugroup
Österreichische Volkspartei,c1b,ÖVP,at,Q186867,https://pic.proca.app/twimg/1525416202008416257/yF0MCab8_normal.jpg,volkspartei,5,EPP
Die Grünen - Die Grüne Alternative,s1m,GRUENE,at,Q193178,https://pic.proca.app/twimg/1682028092230103040/Lkgz0i9y_normal.jpg,diegruenen,2,Greens/EFA
Freiheitliche Partei Österreichs,u3j,FPÖ,at,Q131692,https://pic.proca.app/twimg/1228638769143783425/Vfx9GaeM_normal.jpg,fpoe_tv,6,Patriots
NEOS – Das Neue Österreich,wy3,NEOS,at,Q13564543,https://pic.proca.app/twimg/1679459671164301315/v6iZxiTb_normal.jpg,neos_eu,2,Renew
Sozialdemokratische Partei Österreichs,n44,SPÖ,at,Q179111,https://pic.proca.app/twimg/1755919108107849728/vNVviIFD_normal.jpg,SPOE_at,5,S&D
Nieuw-Vlaamse Alliantie,jr,N-VA,be,Q28982,https://pic.proca.app/twimg/1718907738439233536/zE9EQCsf_normal.jpg,de_NVA,3,ECR
Christen-Democratisch & Vlaams,u22,CD&V,be,Q750673,https://pic.proca.app/twimg/1583360683495809024/DJfa0Pkk_normal.jpg,cdenv,2,EPP
Christlich Soziale Partei,13f,CSP,be,Q1084016,https://pic.proca.app/twimg/1725096658956873728/5lUCjqE3_400x400_normal.jpg,CSPOstbelgien,1,EPP
Independent,73c,,be,,,,1,GUE/NGL
PVDA-PTB,rb0u,,be,,https://pic.proca.app/twimg/1467449520359452672/2cRf7s0n_normal.jpg,pvdabelgie,1,GUE/NGL
Ecologistes Confédérés pour l'Organisation de Luttes Originales,42e,Ecolo,be,Q655611,https://pic.proca.app/twimg/1466318760005017601/c9UHi5Pl_400x400_normal.jpg,Ecolo,1,Greens/EFA
Groen,e76,Groen,be,Q513521,https://pic.proca.app/twimg/1601172641066491904/bEInP_yg_normal.jpg,groen,1,Greens/EFA
Vlaams Belang,q43,VB,be,Q682990,https://pic.proca.app/twimg/1651611905809698820/AYyoAm1o_normal.jpg,vlbelang,3,Patriots
Les Engagés,26d,LE,be,Q840814,https://pic.proca.app/twimg/1502706455702650887/HKfRU-mx_normal.jpg,LesEngages_be,1,Renew
Mouvement Réformateur,f47,MR,be,Q533384,https://pic.proca.app/twimg/1754827422443204610/H77nzH5T_normal.jpg,MR_officiel,3,Renew
