mepid,name,result,eugroup,identifier,vote_id
4978,Berlato,for,ECR,115969,4978
5112,Bielan,for,ECR,115969,5112
6895,Brudziński,for,ECR,115969,6895
5490,Czarnecki,for,ECR,115969,5490
7150,Ďuriš Nicholsonová,for,ECR,115969,7150
6511,Dzhambazki,for,ECR,115969,6511
5982,Fidanza,for,ECR,115969,5982
6998,Fiocchi,for,ECR,115969,6998
4880,Fitto,for,ECR,115969,4880
5472,Fotyga,for,ECR,115969,5472
7250,Fragkos,for,ECR,115969,7250
6834,Geuking,for,ECR,115969,6834
6909,Jaki,for,ECR,115969,6909
6911,Jurgiel,for,ECR,115969,6911
6525,Karski,for,ECR,115969,6525
6913,Kloc,for,ECR,115969,6913
6530,Krasnodębski,for,ECR,115969,6530
6925,Kruk,for,ECR,115969,6925
5507,Kuźmiuk,for,ECR,115969,5507
5969,Legutko,for,ECR,115969,5969
6931,Mazurek,for,ECR,115969,6931
6934,Możdżanowska,for,ECR,115969,6934
5974,Poręba,for,ECR,115969,5974
7205,Procaccini,for,ECR,115969,7205
6937,Rafalska,for,ECR,115969,6937
7157,Ruissen,for,ECR,115969,7157
6938,Rzońca,for,ECR,115969,6938
5416,Saryusz-Wolski,for,ECR,115969,5416
7231,Slabakov,for,ECR,115969,7231
7210,Stancanelli,for,ECR,115969,7210
6946,Szydło,for,ECR,115969,6946
7265,Tarczyński,for,ECR,115969,7265
7044,Terheş,for,ECR,115969,7044
6952,Tobiszowski,for,ECR,115969,6952
5878,Tomaševski,for,ECR,115969,5878
6300,Tomašić,for,ECR,115969,6300
6956,Waszczykowski,for,ECR,115969,6956
6515,Wiśniewska,for,ECR,115969,6515
6962,Zalewska,for,ECR,115969,6962
6522,Złotowski,for,ECR,115969,6522
7089,Arvanitis,for,GUE/NGL,115969,7089
6926,Aubry,for,GUE/NGL,115969,6926
7072,Barrena Arza,for,GUE/NGL,115969,7072
6604,Björk,for,GUE/NGL,115969,6604
6914,Bompard,for,GUE/NGL,115969,6914
6922,Chaibi,for,GUE/NGL,115969,6922
7113,Daly,for,GUE/NGL,115969,7113
6865,Demirel,for,GUE/NGL,115969,6865
6024,Ernst,for,GUE/NGL,115969,6024
6597,Flanagan,for,GUE/NGL,115969,6597
6815,Georgiou,for,GUE/NGL,115969,6815
7204,Georgoulis,for,GUE/NGL,115969,7204
7133,Gusmão,for,GUE/NGL,115969,7133
6628,Hazekamp,for,GUE/NGL,115969,6628
6814,Kizilyürek,for,GUE/NGL,115969,6814
7126,Kokkalis,for,GUE/NGL,115969,7126
5039,Konečná,for,GUE/NGL,115969,5039
6713,Kouloglou,for,GUE/NGL,115969,6713
7087,Kountoura,for,GUE/NGL,115969,7087
7279,MacManus,for,GUE/NGL,115969,7279
5992,Matias,for,GUE/NGL,115969,5992
6354,Maurel,for,GUE/NGL,115969,6354
6310,Michels,for,GUE/NGL,115969,6310
7190,Modig,for,GUE/NGL,115969,7190
6250,Omarjee,for,GUE/NGL,115969,6250
5596,Papadimoulis,for,GUE/NGL,115969,5596
6920,Pelletier,for,GUE/NGL,115969,6920
7169,Rodríguez Palop,for,GUE/NGL,115969,7169
6758,Schirdewan,for,GUE/NGL,115969,6758
5837,Scholz,for,GUE/NGL,115969,5837
6715,Urbán Crespo,for,GUE/NGL,115969,6715
7212,Villanueva Ruiz,for,GUE/NGL,115969,7212
6961,Villumsen,for,GUE/NGL,115969,6961
7202,Wallace,for,GUE/NGL,115969,7202
7079,Androuët,for,ID,115969,7079
6988,Bardella,for,ID,115969,6988
6394,Bay,for,ID,115969,6394
7068,Beigneux,for,ID,115969,7068
6405,Bilde,for,ID,115969,6405
7076,Bruna,for,ID,115969,7076
7071,Collard,for,ID,115969,7071
7018,Garraud,for,ID,115969,7018
7019,Griset,for,ID,115969,7019
6404,Jalkh,for,ID,115969,6404
6751,Jamet,for,ID,115969,6751
7017,Joron,for,ID,115969,7017
7016,Juvin,for,ID,115969,7016
7275,Lacapelle,for,ID,115969,7275
6990,Laporte,for,ID,115969,6990
6372,Lebreton,for,ID,115969,6372
7074,Lechanteux,for,ID,115969,7074
7013,Mariani,for,ID,115969,7013
6399,Mélin,for,ID,115969,6399
7075,Olivier,for,ID,115969,7075
7020,Pirbakas,for,ID,115969,7020
7006,Rivière,for,ID,115969,7006
7078,Rougé,for,ID,115969,7078
6468,Adinolfi Isabella,for,NI,115969,6468
6411,Beghin,for,NI,115969,6411
6446,Castaldo,for,NI,115969,6446
7258,Comín i Oliveres,for,NI,115969,7258
6494,Corrao,for,Verts/ALE,115969,6494
6472,D'Amato,for,Verts/ALE,115969,6472
6413,Evi,for,Verts/ALE,115969,6413
6470,Ferrara,for,NI,115969,6470
7180,Furore,for,NI,115969,7180
7179,Gemma,for,NI,115969,7179
7189,Giarrusso,for,NI,115969,7189
7243,Gyöngyösi,for,NI,115969,7243
