mepid,mep,result,group,identifier
5682,Ali,for,ALDE,2017-07-05_7.
6407,Arthuis,for,ALDE,2017-07-05_7.
6097,van Baalen,for,ALDE,2017-07-05_7.
6646,Becerra Basterrechea,for,ALDE,2017-07-05_7.
6339,Charanzová,for,ALDE,2017-07-05_7.
4761,Cornillet,for,ALDE,2017-07-05_7.
1060,Deprez,for,ALDE,2017-07-05_7.
6439,Diaconu,for,ALDE,2017-07-05_7.
6340,Dlabajová,for,ALDE,2017-07-05_7.
6601,Federley,for,ALDE,2017-07-05_7.
6724,Giménez Barbat,for,ALDE,2017-07-05_7.
5330,Griesbeck,for,ALDE,2017-07-05_7.
UNDEFINE,Grigule,for,ALDE,2017-07-05_7.
5246,Harkin,for,ALDE,2017-07-05_7.
6622,Huitema,for,ALDE,2017-07-05_7.
5681,Hyusmenova,for,ALDE,2017-07-05_7.
5385,in 't Veld,for,ALDE,2017-07-05_7.
5433,Jäätteenmäki,for,ALDE,2017-07-05_7.
6388,Jakovčić,for,ALDE,2017-07-05_7.
6338,Ježek,for,ALDE,2017-07-05_7.
6328,Kallas,for,ALDE,2017-07-05_7.
6504,Kyuchyuk,for,ALDE,2017-07-05_7.
6740,Lalonde,for,ALDE,2017-07-05_7.
5362,Lambsdorff,for,ALDE,2017-07-05_7.
5889,Løkkegaard,for,ALDE,2017-07-05_7.
6402,Mazuronis,for,ALDE,2017-07-05_7.
6041,Meissner,for,ALDE,2017-07-05_7.
5857,Michel,for,ALDE,2017-07-05_7.
6690,Mihaylova,for,ALDE,2017-07-05_7.
6626,van Miltenburg,for,ALDE,2017-07-05_7.
6631,Mlinar,for,ALDE,2017-07-05_7.
6500,Müller,for,ALDE,2017-07-05_7.
6621,van Nieuwenhuizen,for,ALDE,2017-07-05_7.
6705,Paet,for,ALDE,2017-07-05_7.
6510,Petersen,for,ALDE,2017-07-05_7.
6266,Radoš,for,ALDE,2017-07-05_7.
4676,Ries,for,ALDE,2017-07-05_7.
6056,Riquet,for,ALDE,2017-07-05_7.
6154,Rochefort,for,ALDE,2017-07-05_7.
5890,Rohde,for,ALDE,2017-07-05_7.
6100,Schaake,for,ALDE,2017-07-05_7.
6722,Selimovic,for,ALDE,2017-07-05_7.
5435,Takkula,for,ALDE,2017-07-05_7.
6337,Telička,for,ALDE,2017-07-05_7.
6331,Toom,for,ALDE,2017-07-05_7.
6281,Torvalds,for,ALDE,2017-07-05_7.
5879,Uspaskich,for,ALDE,2017-07-05_7.
6151,Vajgl,for,ALDE,2017-07-05_7.
6710,Vautmans,for,ALDE,2017-07-05_7.
4550,Väyrynen,for,ALDE,2017-07-05_7.
5770,Weber Renate,for,ALDE,2017-07-05_7.
6729,Wierinck,for,ALDE,2017-07-05_7.
5864,Wikström,for,ALDE,2017-07-05_7.
5262,Ashworth,for,ECR,2017-07-05_7.
6509,Barekov,for,ECR,2017-07-05_7.
6574,Bashir,for,ECR,2017-07-05_7.
4911,Belder,for,ECR,2017-07-05_7.
6081,Campbell Bannerman,for,ECR,2017-07-05_7.
5490,Czarnecki,for,ECR,2017-07-05_7.
6719,Czesak,for,ECR,2017-07-05_7.
5981,van Dalen,for,ECR,2017-07-05_7.
6712,Dalton,for,ECR,2017-07-05_7.
6291,Demesmaeker,for,ECR,2017-07-05_7.
6516,Dohrmann,for,ECR,2017-07-05_7.
6511,Dzhambazki,for,ECR,2017-07-05_7.
4880,Fitto,for,ECR,2017-07-05_7.
6743,Flack,for,ECR,2017-07-05_7.
4957,Foster,for,ECR,2017-07-05_7.
5472,Fotyga,for,ECR,2017-07-05_7.
6112,Fox,for,ECR,2017-07-05_7.
6111,Girling,for,ECR,2017-07-05_7.
6539,Gosiewska,for,ECR,2017-07-05_7.
6358,Halla-aho,for,ECR,2017-07-05_7.
4959,Hannan,for,ECR,2017-07-05_7.
6725,Hoc,for,ECR,2017-07-05_7.
6531,Jurek,for,ECR,2017-07-05_7.
5563,Karim,for,ECR,2017-07-05_7.
6514,Karlsson,for,ECR,2017-07-05_7.
6525,Karski,for,ECR,2017-07-05_7.
6726,Kłosowski,for,ECR,2017-07-05_7.
6461,Kölmel,for,ECR,2017-07-05_7.
6530,Krasnodębski,for,ECR,2017-07-05_7.
5453,Krupa,for,ECR,2017-07-05_7.
5507,Kuźmiuk,for,ECR,2017-07-05_7.
5969,Legutko,for,ECR,2017-07-05_7.
6704,Loones,for,ECR,2017-07-05_7.
6457,Lucke,for,ECR,2017-07-05_7.
6234,McIntyre,for,ECR,2017-07-05_7.
5996,Macovei,for,ECR,2017-07-05_7.
6667,Marias,for,ECR,2017-07-05_7.
6742,Matthews,for,ECR,2017-07-05_7.
5851,Messerschmidt,for,ECR,2017-07-05_7.
1230,Nicholson,for,ECR,2017-07-05_7.
6536,Ożóg,for,ECR,2017-07-05_7.
6512,Piecha,for,ECR,2017-07-05_7.
5460,Piotrowski,for,ECR,2017-07-05_7.
5974,Poręba,for,ECR,2017-07-05_7.
6736,Procter,for,ECR,2017-07-05_7.
6718,Ruohonen-Lerner,for,ECR,2017-07-05_7.
6428,Sernagiotto,for,ECR,2017-07-05_7.
6545,Škripek,for,ECR,2017-07-05_7.
6464,Starbatty,for,ECR,2017-07-05_7.
6682,Stevens,for,ECR,2017-07-05_7.
6546,Sulík,for,ECR,2017-07-05_7.
6088,Swinburne,for,ECR,2017-07-05_7.
4925,Tannock,for,ECR,2017-07-05_7.
5207,Theocharous,for,ECR,2017-07-05_7.
6300,Tomašić,for,ECR,2017-07-05_7.
5892,Tošenovský,for,ECR,2017-07-05_7.
5113,Ujazdowski,for,ECR,2017-07-05_7.
6711,Van Bossuyt,for,ECR,2017-07-05_7.
4917,Van Orden,for,ECR,2017-07-05_7.
6513,Vistisen,for,ECR,2017-07-05_7.
6515,Wiśniewska,for,ECR,2017-07-05_7.
5052,Zahradil,for,ECR,2017-07-05_7.
5598,Zīle,for,ECR,2017-07-05_7.
6522,Złotowski,for,ECR,2017-07-05_7.
6374,Bergeron,for,EFDD,2017-07-05_7.
6386,Chauprade,for,NI,2017-07-05_7.
6106,Dodds,for,NI,2017-07-05_7.
5416,Saryusz-Wolski,for,NI,2017-07-05_7.
6471,Sonneborn,for,NI,2017-07-05_7.
6469,Voigt,for,NI,2017-07-05_7.
6602,Adaktusson,for,PPE,2017-07-05_7.
5395,Andrikienė,for,PPE,2017-07-05_7.
6594,Arimont,for,PPE,2017-07-05_7.
4742,Ayuso,for,PPE,2017-07-05_7.
6191,Bach,for,PPE,2017-07-05_7.
6135,Balz,for,PPE,2017-07-05_7.
5377,Belet,for,PPE,2017-07-05_7.
5885,Bendtsen,for,PPE,2017-07-05_7.
6343,Bocskor,for,PPE,2017-07-05_7.
1507,Böge,for,PPE,2017-07-05_7.
6613,Bogovič,for,PPE,2017-07-05_7.
6535,Boni,for,PPE,2017-07-05_7.
1278,Brok,for,PPE,2017-07-05_7.
6617,Buda,for,PPE,2017-07-05_7.
5729,Buşoi,for,PPE,2017-07-05_7.
6021,Cadec,for,PPE,2017-07-05_7.
5928,van de Camp,for,PPE,2017-07-05_7.
5252,Casa,for,PPE,2017-07-05_7.
5341,Caspary,for,PPE,2017-07-05_7.
5508,del Castillo Vera,for,PPE,2017-07-05_7.
5554,Cesa,for,PPE,2017-07-05_7.
5236,Christoforou,for,PPE,2017-07-05_7.
6492,Cicu,for,PPE,2017-07-05_7.
6406,Cirio,for,PPE,2017-07-05_7.
3800,Coelho,for,PPE,2017-07-05_7.
6273,Collin-Langen,for,PPE,2017-07-05_7.
5948,Comi,for,PPE,2017-07-05_7.
5861,Corazza Bildt,for,PPE,2017-07-05_7.
6548,Csáky,for,PPE,2017-07-05_7.
5921,Danjean,for,PPE,2017-07-05_7.
6194,Dantin,for,PPE,2017-07-05_7.
6364,Delahaye,for,PPE,2017-07-05_7.
5350,Deß,for,PPE,2017-07-05_7.
5998,Deutsch,for,PPE,2017-07-05_7.
5515,Díaz de Mera García Consuegra,for,PPE,2017-07-05_7.
5960,Dorfmann,for,PPE,2017-07-05_7.
5348,Ehler,for,PPE,2017-07-05_7.
6342,Erdős,for,PPE,2017-07-05_7.
5983,Estaràs Ferragut,for,PPE,2017-07-05_7.
6679,Faria,for,PPE,2017-07-05_7.
3833,Ferber,for,PPE,2017-07-05_7.
6068,Fernandes,for,PPE,2017-07-05_7.
5903,Fisas Ayxelà,for,PPE,2017-07-05_7.
5256,Fjellner,for,PPE,2017-07-05_7.
1508,Florenz,for,PPE,2017-07-05_7.
6020,Gabriel,for,PPE,2017-07-05_7.
4659,Gahler,for,PPE,2017-07-05_7.
5280,Gál,for,PPE,2017-07-05_7.
6202,Gáll-Pelcz,for,PPE,2017-07-05_7.
6615,Gambús,for,PPE,2017-07-05_7.
5803,Gardini,for,PPE,2017-07-05_7.
6441,Gieseke,for,PPE,2017-07-05_7.
6632,González Pons,for,PPE,2017-07-05_7.
5511,de Grandes Pascual,for,PPE,2017-07-05_7.
5342,Gräßle,for,PPE,2017-07-05_7.
4032,Grossetête,for,PPE,2017-07-05_7.
