mepid,mep,result,group,identifier
6056,Riquet,for,ALDE,57662
6667,Marias,for,ECR,57662
6468,Adinolfi,for,EFDD,57662
6431,Affronte,for,EFDD,57662
6445,Agea,for,EFDD,57662
6480,Aiuto,for,EFDD,57662
6411,Beghin,for,EFDD,57662
6430,Borrelli,for,EFDD,57662
6446,Castaldo,for,EFDD,57662
6494,Corrao,for,EFDD,57662
6472,D'Amato,for,EFDD,57662
6413,Evi,for,EFDD,57662
6470,Ferrara,for,EFDD,57662
6497,Moi,for,EFDD,57662
6482,Pedicini,for,EFDD,57662
6447,Tamburrano,for,EFDD,57662
6412,Valli,for,EFDD,57662
6414,Zanni,for,EFDD,57662
6695,Zullo,for,EFDD,57662
6179,Bizzotto,for,ENF,57662
5010,Borghezio,for,ENF,57662
6507,Buonanno,for,ENF,57662
6132,Fontana,for,ENF,57662
5522,Salvini,for,ENF,57662
6654,Albiol Guzmán,for,GUE/NGL,57662
6280,Anderson Martina,for,GUE/NGL,57662
6604,Björk,for,GUE/NGL,57662
6598,Carthy,for,GUE/NGL,57662
6660,Chrysogonos,for,GUE/NGL,57662
6701,Couso Permuy,for,GUE/NGL,57662
6496,De Masi,for,GUE/NGL,57662
6501,Eck,for,GUE/NGL,57662
6024,Ernst,for,GUE/NGL,57662
5886,Ferreira João,for,GUE/NGL,57662
6693,Forenza,for,GUE/NGL,57662
6702,González Peñas,for,GUE/NGL,57662
6076,Hadjigeorgiou,for,GUE/NGL,57662
6023,Händel,for,GUE/NGL,57662
6628,Hazekamp,for,GUE/NGL,57662
6637,Iglesias,for,GUE/NGL,57662
6657,Juaristi Abaunz,for,GUE/NGL,57662
6313,Kari,for,GUE/NGL,57662
5039,Konečná,for,GUE/NGL,57662
6713,Kouloglou,for,GUE/NGL,57662
6675,Kuneva,for,GUE/NGL,57662
6369,Kyllönen,for,GUE/NGL,57662
5909,Le Hyaric,for,GUE/NGL,57662
6653,López Bermejo,for,GUE/NGL,57662
6026,Lösing,for,GUE/NGL,57662
5916,Mélenchon,for,GUE/NGL,57662
6250,Omarjee,for,GUE/NGL,57662
5596,Papadimoulis,for,GUE/NGL,57662
5046,Ransdorf,for,GUE/NGL,57662
6674,Sakorafa,for,GUE/NGL,57662
6641,Sánchez Caldentey,for,GUE/NGL,57662
5837,Scholz,for,GUE/NGL,57662
6655,Senra Rodríguez,for,GUE/NGL,57662
6444,Spinelli,for,GUE/NGL,57662
6321,Sylikiotis,for,GUE/NGL,57662
6716,Torres Martínez,for,GUE/NGL,57662
