mepid,mep,result,group,identifier
5682,Ali,for,ALDE,104738
6407,Arthuis,for,ALDE,104738
6646,Becerra Basterrechea,for,ALDE,104738
6089,Bilbao Barandica,for,ALDE,104738
6708,Calvet Chambon,for,ALDE,104738
5328,Cavada,for,ALDE,104738
4761,Cornillet,for,ALDE,104738
1060,Deprez,for,ALDE,104738
6439,Diaconu,for,ALDE,104738
6724,Giménez Barbat,for,ALDE,104738
1793,Goerens,for,ALDE,104738
6779,Gräzin,for,ALDE,104738
6379,Grigule-Pēterse,for,ALDE,104738
5246,Harkin,for,ALDE,104738
6043,Hirsch,for,ALDE,104738
5681,Hyusmenova,for,ALDE,104738
6388,Jakovčić,for,ALDE,104738
6338,Ježek,for,ALDE,104738
5364,Klinz,for,ALDE,104738
6504,Kyuchyuk,for,ALDE,104738
6740,Lalonde,for,ALDE,104738
6376,Marinho e Pinto,for,ALDE,104738
6402,Mazuronis,for,ALDE,104738
6041,Meissner,for,ALDE,104738
6690,Mihaylova,for,ALDE,104738
6631,Mlinar,for,ALDE,104738
6500,Müller,for,ALDE,104738
6705,Paet,for,ALDE,104738
6056,Riquet,for,ALDE,104738
6154,Rochefort,for,ALDE,104738
6337,Telička,for,ALDE,104738
6331,Toom,for,ALDE,104738
6181,Tremosa i Balcells,for,ALDE,104738
5879,Uspaskich,for,ALDE,104738
6151,Vajgl,for,ALDE,104738
6159,Verhofstadt,for,ALDE,104738
5770,Weber Renate,for,ALDE,104738
5864,Wikström,for,ALDE,104738
6509,Barekov,for,ECR,104738
6574,Bashir,for,ECR,104738
6081,Campbell Bannerman,for,ECR,104738
5490,Czarnecki,for,ECR,104738
6719,Czesak,for,ECR,104738
6712,Dalton,for,ECR,104738
6291,Demesmaeker,for,ECR,104738
4960,Deva,for,ECR,104738
6516,Dohrmann,for,ECR,104738
6511,Dzhambazki,for,ECR,104738
4880,Fitto,for,ECR,104738
6743,Flack,for,ECR,104738
4957,Foster,for,ECR,104738
