mepid,mep,result,group,identifier
5682,Ali,for,ALDE,2017-09-13_8.
6708,Calvet Chambon,for,ALDE,2017-09-13_8.
5328,Cavada,for,ALDE,2017-09-13_8.
1060,Deprez,for,ALDE,2017-09-13_8.
6601,Federley,for,ALDE,2017-09-13_8.
6098,Gerbrandy,for,ALDE,2017-09-13_8.
6724,Giménez Barbat,for,ALDE,2017-09-13_8.
1793,Goerens,for,ALDE,2017-09-13_8.
6379,Grigule-Pēterse,for,ALDE,2017-09-13_8.
5246,Harkin,for,ALDE,2017-09-13_8.
5681,Hyusmenova,for,ALDE,2017-09-13_8.
5385,in 't Veld,for,ALDE,2017-09-13_8.
5433,Jäätteenmäki,for,ALDE,2017-09-13_8.
6388,Jakovčić,for,ALDE,2017-09-13_8.
6338,Ježek,for,ALDE,2017-09-13_8.
6328,Kallas,for,ALDE,2017-09-13_8.
6504,Kyuchyuk,for,ALDE,2017-09-13_8.
6740,Lalonde,for,ALDE,2017-09-13_8.
5362,Lambsdorff,for,ALDE,2017-09-13_8.
6376,Marinho e Pinto,for,ALDE,2017-09-13_8.
6402,Mazuronis,for,ALDE,2017-09-13_8.
5857,Michel,for,ALDE,2017-09-13_8.
6690,Mihaylova,for,ALDE,2017-09-13_8.
6626,van Miltenburg,for,ALDE,2017-09-13_8.
6614,Nart,for,ALDE,2017-09-13_8.
6644,Pagazaurtundúa Ruiz,for,ALDE,2017-09-13_8.
6510,Petersen,for,ALDE,2017-09-13_8.
4676,Ries,for,ALDE,2017-09-13_8.
6154,Rochefort,for,ALDE,2017-09-13_8.
5890,Rohde,for,ALDE,2017-09-13_8.
6100,Schaake,for,ALDE,2017-09-13_8.
6722,Selimovic,for,ALDE,2017-09-13_8.
6281,Torvalds,for,ALDE,2017-09-13_8.
5879,Uspaskich,for,ALDE,2017-09-13_8.
6151,Vajgl,for,ALDE,2017-09-13_8.
6710,Vautmans,for,ALDE,2017-09-13_8.
6159,Verhofstadt,for,ALDE,2017-09-13_8.
6729,Wierinck,for,ALDE,2017-09-13_8.
5864,Wikström,for,ALDE,2017-09-13_8.
5262,Ashworth,for,ECR,2017-09-13_8.
5490,Czarnecki,for,ECR,2017-09-13_8.
6719,Czesak,for,ECR,2017-09-13_8.
5981,van Dalen,for,ECR,2017-09-13_8.
6291,Demesmaeker,for,ECR,2017-09-13_8.
5472,Fotyga,for,ECR,2017-09-13_8.
6452,Gericke,for,ECR,2017-09-13_8.
6111,Girling,for,ECR,2017-09-13_8.
6539,Gosiewska,for,ECR,2017-09-13_8.
6725,Hoc,for,ECR,2017-09-13_8.
6531,Jurek,for,ECR,2017-09-13_8.
5563,Karim,for,ECR,2017-09-13_8.
6514,Karlsson,for,ECR,2017-09-13_8.
6525,Karski,for,ECR,2017-09-13_8.
6726,Kłosowski,for,ECR,2017-09-13_8.
6530,Krasnodębski,for,ECR,2017-09-13_8.
5453,Krupa,for,ECR,2017-09-13_8.
5507,Kuźmiuk,for,ECR,2017-09-13_8.
5969,Legutko,for,ECR,2017-09-13_8.
6704,Loones,for,ECR,2017-09-13_8.
6234,McIntyre,for,ECR,2017-09-13_8.
5996,Macovei,for,ECR,2017-09-13_8.
6667,Marias,for,ECR,2017-09-13_8.
6536,Ożóg,for,ECR,2017-09-13_8.
6512,Piecha,for,ECR,2017-09-13_8.
5460,Piotrowski,for,ECR,2017-09-13_8.
5974,Poręba,for,ECR,2017-09-13_8.
6428,Sernagiotto,for,ECR,2017-09-13_8.
6545,Škripek,for,ECR,2017-09-13_8.
6682,Stevens,for,ECR,2017-09-13_8.
6088,Swinburne,for,ECR,2017-09-13_8.
4925,Tannock,for,ECR,2017-09-13_8.
5207,Theocharous,for,ECR,2017-09-13_8.
5878,Tomaševski,for,ECR,2017-09-13_8.
5113,Ujazdowski,for,ECR,2017-09-13_8.
6711,Van Bossuyt,for,ECR,2017-09-13_8.
6515,Wiśniewska,for,ECR,2017-09-13_8.
6540,Žitňanská,for,ECR,2017-09-13_8.
6522,Złotowski,for,ECR,2017-09-13_8.
6468,Adinolfi,for,EFDD,2017-09-13_8.
6480,Aiuto,for,EFDD,2017-09-13_8.
6411,Beghin,for,EFDD,2017-09-13_8.
6374,Bergeron,for,EFDD,2017-09-13_8.
