mepid,name,result,eugroup,identifier
5112,Bielan,for,ECR,116669
6864,Bourgeois,for,ECR,116669
6895,Brudziński,for,ECR,116669
5490,Czarnecki,for,ECR,116669
7150,Ďuriš Nicholsonová,for,ECR,116669
5472,Fotyga,for,ECR,116669
6834,Geuking,for,ECR,116669
6909,Jaki,for,ECR,116669
6911,Jurgiel,for,ECR,116669
7151,Jurzyca,for,ECR,116669
6866,Kanko,for,ECR,116669
6525,Karski,for,ECR,116669
6912,Kempa,for,ECR,116669
6913,Kloc,for,ECR,116669
6923,Kopcińska,for,ECR,116669
6530,Krasnodębski,for,ECR,116669
6925,Kruk,for,ECR,116669
5507,Kuźmiuk,for,ECR,116669
5969,Legutko,for,ECR,116669
6931,Mazurek,for,ECR,116669
7173,Melbārde,for,ECR,116669
6934,Możdżanowska,for,ECR,116669
5974,Poręba,for,ECR,116669
6937,Rafalska,for,ECR,116669
7157,Ruissen,for,ECR,116669
6938,Rzońca,for,ECR,116669
5416,Saryusz-Wolski,for,ECR,116669
6946,Szydło,for,ECR,116669
7265,Tarczyński,for,ECR,116669
6952,Tobiszowski,for,ECR,116669
5878,Tomaševski,for,ECR,116669
6300,Tomašić,for,ECR,116669
5892,Tošenovský,for,ECR,116669
6683,Van Overtveldt,for,ECR,116669
6930,Vondra,for,ECR,116669
6945,Vrecionová,for,ECR,116669
6956,Waszczykowski,for,ECR,116669
6515,Wiśniewska,for,ECR,116669
5052,Zahradil,for,ECR,116669
6962,Zalewska,for,ECR,116669
5598,Zīle,for,ECR,116669
6522,Złotowski,for,ECR,116669
7089,Arvanitis,for,GUE/NGL,116669
6926,Aubry,for,GUE/NGL,116669
6604,Björk,for,GUE/NGL,116669
6914,Bompard,for,GUE/NGL,116669
6873,Botenga,for,GUE/NGL,116669
6922,Chaibi,for,GUE/NGL,116669
7113,Daly,for,GUE/NGL,116669
6865,Demirel,for,GUE/NGL,116669
6024,Ernst,for,GUE/NGL,116669
5886,Ferreira,for,GUE/NGL,116669
6597,Flanagan,for,GUE/NGL,116669
6815,Georgiou,for,GUE/NGL,116669
7204,Georgoulis,for,GUE/NGL,116669
7133,Gusmão,for,GUE/NGL,116669
6628,Hazekamp,for,GUE/NGL,116669
6814,Kizilyürek,for,GUE/NGL,116669
7126,Kokkalis,for,GUE/NGL,116669
5039,Konečná,for,GUE/NGL,116669
6713,Kouloglou,for,GUE/NGL,116669
7087,Kountoura,for,GUE/NGL,116669
7279,MacManus,for,GUE/NGL,116669
5992,Matias,for,GUE/NGL,116669
6354,Maurel,for,GUE/NGL,116669
6310,Michels,for,GUE/NGL,116669
7190,Modig,for,GUE/NGL,116669
6250,Omarjee,for,GUE/NGL,116669
5596,Papadimoulis,for,GUE/NGL,116669
6920,Pelletier,for,GUE/NGL,116669
7138,Pereira Sandra,for,GUE/NGL,116669
7213,Pineda,for,GUE/NGL,116669
7069,Rego,for,GUE/NGL,116669
7169,Rodríguez Palop,for,GUE/NGL,116669
6758,Schirdewan,for,GUE/NGL,116669
5837,Scholz,for,GUE/NGL,116669
6715,Urbán Crespo,for,GUE/NGL,116669
7212,Villanueva Ruiz,for,GUE/NGL,116669
6961,Villumsen,for,GUE/NGL,116669
7202,Wallace,for,GUE/NGL,116669
7211,Adinolfi Matteo,for,ID,116669
7174,Baldassarre,for,ID,116669
7001,Basso,for,ID,116669
6179,Bizzotto,for,ID,116669
7172,Bonfrisco,for,ID,116669
7000,Borchia,for,ID,116669
6981,Campomenosi,for,ID,116669
7182,Caroppo,for,NI,116669
7181,Casanova,for,ID,116669
7170,Ceccardi,for,ID,116669
6731,Ciocca,for,ID,116669
7007,Conte,for,ID,116669
6999,Da Re,for,ID,116669
6949,David,for,ID,116669
7207,Donato,for,ID,116669
7005,Dreosto,for,ID,116669
6972,Gancia,for,ID,116669
7184,Grant,for,ID,116669
6771,Lancini,for,ID,116669
7002,Lizzi,for,ID,116669
6979,Panza,for,ID,116669
7175,Regimenti,for,ID,116669
7171,Rinaldi,for,ID,116669
6968,Sardone,for,ID,116669
7262,Sofo,for,ID,116669
7191,Tardino,for,ID,116669
6970,Tovaglieri,for,ID,116669
7183,Vuolo,for,ID,116669
6976,Zambelli,for,ID,116669
6414,Zanni,for,ID,116669
6468,Adinolfi Isabella,for,NI,116669
6411,Beghin,for,NI,116669
6832,Buschmann,for,NI,116669
6446,Castaldo,for,NI,116669
7258,Comín i Oliveres,for,NI,116669
6494,Corrao,for,Verts/ALE,116669
6472,D'Amato,for,Verts/ALE,116669
6413,Evi,for,Verts/ALE,116669
6470,Ferrara,for,NI,116669
7180,Furore,for,NI,116669
7179,Gemma,for,NI,116669
7189,Giarrusso,for,NI,116669
7243,Gyöngyösi,for,NI,116669
7116,Nikolaou-Alavanos,for,NI,116669
6676,Papadakis Kostas,for,NI,116669
6482,Pedicini,for,Verts/ALE,116669
7276,Ponsatí Obiols,for,NI,116669
7257,Puigdemont i Casamajó,for,NI,116669
7177,Rondinelli,for,NI,116669
6471,Sonneborn,for,NI,116669
6695,Zullo,for,NI,116669
6883,Adamowicz,for,PPE,116669
6755,Ademov,for,PPE,116669
7219,Alexandrov Yordanov,for,PPE,116669
7129,Amaro,for,PPE,116669
5980,Arias Echeverría,for,PPE,116669
6594,Arimont,for,PPE,116669
6885,Arłukowicz,for,PPE,116669
7083,Asimakopoulou,for,PPE,116669
7060,Băsescu,for,PPE,116669
6927,Bellamy,for,PPE,116669
7067,Benjumea Benjumea,for,PPE,116669
6807,Bentele,for,PPE,116669
7162,Berendsen,for,PPE,116669
6809,Berger,for,PPE,116669
7037,Bernhuber,for,PPE,116669
7155,Bilčík,for,PPE,116669
7026,Blaga,for,PPE,116669
6343,Bocskor,for,PPE,116669
7025,Bogdan,for,PPE,116669
6613,Bogovič,for,PPE,116669
6617,Buda,for,PPE,116669
5729,Buşoi,for,PPE,116669
5388,Buzek,for,PPE,116669
6039,Carvalho,for,PPE,116669
5252,Casa,for,PPE,116669
5341,Caspary,for,PPE,116669
5508,del Castillo Vera,for,PPE,116669
5236,Christoforou,for,PPE,116669
6600,Clune,for,PPE,116669
6929,Colin-Oesterlé,for,PPE,116669
5981,van Dalen,for,PPE,116669
5921,Danjean,for,PPE,116669
7261,De Meo,for,PPE,116669
6345,Deli,for,PPE,116669
5998,Deutsch,for,PPE,116669
6762,Didier,for,PPE,116669
6870,Doleschal,for,PPE,116669
5960,Dorfmann,for,PPE,116669
6903,Duda,for,PPE,116669
6810,Düpont,for,PPE,116669
5348,Ehler,for,PPE,116669
5983,Estaràs Ferragut,for,PPE,116669
6928,Evren,for,PPE,116669
7038,Falcă,for,PPE,116669
3833,Ferber,for,PPE,116669
6068,Fernandes,for,PPE,116669
7108,Fitzgerald,for,PPE,116669
6813,Fourlas,for,PPE,116669
6906,Frankowski,for,PPE,116669
6852,Franssen,for,PPE,116669
4659,Gahler,for,PPE,116669
5280,Gál,for,PPE,116669
3980,García-Margallo y Marfil,for,PPE,116669
6441,Gieseke,for,PPE,116669
7253,Glavak,for,PPE,116669
6632,González Pons,for,PPE,116669
6002,Győri,for,PPE,116669
5138,Gyürk,for,PPE,116669
6907,Halicki,for,PPE,116669
6777,Hansen,for,PPE,116669
7035,Hava,for,PPE,116669
6811,Herbst,for,PPE,116669
6534,Hetman,for,PPE,116669
6318,Hidvéghi,for,PPE,116669
5953,Hohlmeier,for,PPE,116669
6346,Hölvényi,for,PPE,116669
4987,Hortefeux,for,PPE,116669
5952,Hübner,for,PPE,116669
5945,Jahr,for,PPE,116669
5271,Járóka,for,PPE,116669
6910,Jarubas,for,PPE,116669
7223,Juknevičienė,for,PPE,116669
5944,Kalinowski,for,PPE,116669
6095,Kalniete,for,PPE,116669
7222,Kanev,for,PPE,116669
4669,Karas,for,PPE,116669
6666,Kefalogiannis,for,PPE,116669
5855,Kelly,for,PPE,116669
6805,Kokalari,for,PPE,116669
6918,Kopacz,for,PPE,116669
6001,Kósa,for,PPE,116669
6196,Kovatchev,for,PPE,116669
7226,Kubilius,for,PPE,116669
7080,Kympouropoulos,for,PPE,116669
6662,Kyrtsos,for,PPE,116669
5727,de Lange,for,PPE,116669
6793,Lega,for,PPE,116669
6592,Lenaers,for,PPE,116669
5105,Lewandowski,for,PPE,116669
7264,Lexmann,for,PPE,116669
3855,Liese,for,PPE,116669
6442,Lins,for,PPE,116669
7161,López Gil,for,PPE,116669
5517,López-Istúriz White,for,PPE,116669
5964,Łukacijewska,for,PPE,116669
6855,Lutgen,for,PPE,116669
6440,McAllister,for,PPE,116669
7218,Maldeikienė,for,PPE,116669
4964,Manders,for,PPE,116669
6761,Mandl,for,PPE,116669
5646,Marinescu,for,PPE,116669
6465,Martusciello,for,PPE,116669
6096,Mato,for,PPE,116669
6483,Maydell,for,PPE,116669
7224,Mažylis,for,PPE,116669
7051,Meimarakis,for,PPE,116669
6121,Melo,for,PPE,116669
6297,Metsola,for,PPE,116669
7209,Milazzo,for,PPE,116669
5518,Millán Mon,for,PPE,116669
6366,Monteiro de Aguiar,for,PPE,116669
7099,Montserrat,for,PPE,116669
6368,Morano,for,PPE,116669
6825,Mortler,for,PPE,116669
7036,Motreanu,for,PPE,116669
6436,Mureşan,for,PPE,116669
4712,Niebler,for,PPE,116669
6332,Niedermayer,for,PPE,116669
7255,Nistor,for,PPE,116669
5413,Novak,for,PPE,116669
6709,Novakov,for,PPE,116669
6935,Ochojska,for,PPE,116669
5407,Olbrycht,for,PPE,116669
5702,Patriciello,for,PPE,116669
6819,Peeters,for,PPE,116669
7120,Pereira Lídia,for,PPE,116669
5346,Pieper,for,PPE,116669
5788,Pietikäinen,for,PPE,116669
6335,Polčák,for,PPE,116669
6803,Polfjärd,for,PPE,116669
6700,Pospíšil,for,PPE,116669
6750,Radtke,for,PPE,116669
6072,Rangel,for,PPE,116669
6812,Ressler,for,PPE,116669
7266,Sagartz,for,PPE,116669
6698,Salini,for,PPE,116669
6370,Sander,for,PPE,116669
6259,Sarvamaa,for,PPE,116669
7045,Schmiedtbauer,for,PPE,116669
6821,Schneider,for,PPE,116669
6636,Schreijer-Pierik,for,PPE,116669
6443,Schulze,for,PPE,116669
5345,Schwab,for,PPE,116669
6823,Seekatz,for,PPE,116669
6941,Sikorski,for,PPE,116669
6824,Simon,for,PPE,116669
6790,Skyttedal,for,PPE,116669
6341,Šojdrová,for,PPE,116669
6816,Sokol,for,PPE,116669
6663,Spyraki,for,PPE,116669
5143,Szájer,for,PPE,116669
4482,Tajani,for,PPE,116669
7277,Terras,for,PPE,116669
7056,Thaler,for,PPE,116669
6801,Tobé,for,PPE,116669
7061,Tomac,for,PPE,116669
6681,Tomc,for,PPE,116669
6965,Tóth,for,PPE,116669
7241,Trócsányi,for,PPE,116669
5600,Vaidere,for,PPE,116669
5930,Verheyen,for,PPE,116669
7062,Vincze,for,PPE,116669
6356,Virkkunen,for,PPE,116669
5934,Voss,for,PPE,116669
6664,Vozemberg-Vrionidi,for,PPE,116669
7233,Walsh,for,PPE,116669
6827,Walsmann,for,PPE,116669
6804,Warborn,for,PPE,116669
5351,Weber,for,PPE,116669
6908,Weiss,for,PPE,116669
4643,Wieland,for,PPE,116669
7153,Wiezik,for,PPE,116669
5782,Winkler,for,PPE,116669
7041,Winzig,for,PPE,116669
6820,Wiseler-Lima,for,PPE,116669
6665,Zagorakis,for,PPE,116669
6997,Zarzalejos,for,PPE,116669
6344,Zdechovský,for,PPE,116669
7012,Zoido Álvarez,for,PPE,116669
6734,Zovko,for,PPE,116669
6094,Zver,for,PPE,116669
7230,Alieva-Veli,for,Renew,116669
6799,Al-Sahlani,for,Renew,116669
7260,Andrews,for,Renew,116669
6327,Ansip,for,Renew,116669
7053,Armand,for,Renew,116669
6400,Auštrevičius,for,Renew,116669
7165,Azmani,for,Renew,116669
7163,Bauzá Díaz,for,Renew,116669
6835,Beer,for,Renew,116669
6944,Bijoux,for,Renew,116669
6089,Bilbao Barandica,for,Renew,116669
7057,Botoş,for,Renew,116669
6967,Boyer,for,Renew,116669
