mepid,name,result,eugroup,identifier,vote_id
7244,Aguilar,for,ECR,125280,7244
4978,Berlato,for,ECR,125280,4978
6864,Bourgeois,for,ECR,125280,6864
7214,Buxadé Villalba,for,ECR,125280,7214
7270,de la Pisa Carrión,for,ECR,125280,7270
7150,Ďuriš Nicholsonová,for,ECR,125280,7150
6511,Dzhambazki,for,ECR,125280,6511
5982,Fidanza,for,ECR,125280,5982
6998,Fiocchi,for,ECR,125280,6998
4880,Fitto,for,ECR,125280,4880
7250,Fragkos,for,ECR,125280,7250
6834,Geuking,for,ECR,125280,6834
6866,Kanko,for,ECR,125280,6866
6608,Lundgren,for,ECR,125280,6608
7173,Melbārde,for,ECR,125280,7173
7205,Procaccini,for,ECR,125280,7205
7157,Ruissen,for,ECR,125280,7157
7231,Slabakov,for,ECR,125280,7231
7210,Stancanelli,for,ECR,125280,7210
6798,Stegrud,for,ECR,125280,6798
7044,Terheş,for,ECR,125280,7044
7216,Tertsch,for,ECR,125280,7216
6300,Tomašić,for,ECR,125280,6300
6683,Van Overtveldt,for,ECR,125280,6683
6808,Weimers,for,ECR,125280,6808
5598,Zīle,for,ECR,125280,5598
7089,Arvanitis,for,GUE/NGL,125280,7089
7072,Barrena Arza,for,GUE/NGL,125280,7072
6604,Björk,for,GUE/NGL,125280,6604
6865,Demirel,for,GUE/NGL,125280,6865
6597,Flanagan,for,GUE/NGL,125280,6597
6815,Georgiou,for,GUE/NGL,125280,6815
7204,Georgoulis,for,GUE/NGL,125280,7204
6628,Hazekamp,for,GUE/NGL,125280,6628
6814,Kizilyürek,for,GUE/NGL,125280,6814
7126,Kokkalis,for,GUE/NGL,125280,7126
5039,Konečná,for,GUE/NGL,125280,5039
6713,Kouloglou,for,GUE/NGL,125280,6713
7087,Kountoura,for,GUE/NGL,125280,7087
7279,MacManus,for,GUE/NGL,125280,7279
6310,Michels,for,GUE/NGL,125280,6310
7190,Modig,for,GUE/NGL,125280,7190
5596,Papadimoulis,for,GUE/NGL,125280,5596
7213,Pineda,for,GUE/NGL,125280,7213
7069,Rego,for,GUE/NGL,125280,7069
7169,Rodríguez Palop,for,GUE/NGL,125280,7169
6758,Schirdewan,for,GUE/NGL,125280,6758
6715,Urbán Crespo,for,GUE/NGL,125280,6715
7212,Villanueva Ruiz,for,GUE/NGL,125280,7212
6961,Villumsen,for,GUE/NGL,125280,6961
7211,Adinolfi Matteo,for,ID,125280,7211
6872,Anderson,for,ID,125280,6872
7079,Androuët,for,ID,125280,7079
6593,Annemans,for,ID,125280,6593
7174,Baldassarre,for,ID,125280,7174
6988,Bardella,for,ID,125280,6988
7001,Basso,for,ID,125280,7001
6394,Bay,for,ID,125280,6394
6874,Beck,for,ID,125280,6874
7068,Beigneux,for,ID,125280,7068
6875,Berg,for,ID,125280,6875
6405,Bilde,for,ID,125280,6405
6179,Bizzotto,for,ID,125280,6179
6954,Blaško,for,ID,125280,6954
7172,Bonfrisco,for,ID,125280,7172
7000,Borchia,for,ID,125280,7000
7076,Bruna,for,ID,125280,7076
6876,Buchheit,for,ID,125280,6876
6981,Campomenosi,for,ID,125280,6981
7181,Casanova,for,ID,125280,7181
7170,Ceccardi,for,ID,125280,7170
6731,Ciocca,for,ID,125280,6731
7071,Collard,for,ID,125280,7071
7007,Conte,for,ID,125280,7007
6999,Da Re,for,ID,125280,6999
6949,David,for,ID,125280,6949
6869,De Man,for,ID,125280,6869
7207,Donato,for,ID,125280,7207
7005,Dreosto,for,ID,125280,7005
6877,Fest,for,ID,125280,6877
6972,Gancia,for,ID,125280,6972
7018,Garraud,for,ID,125280,7018
7184,Grant,for,ID,125280,7184
7019,Griset,for,ID,125280,7019
7246,Haider,for,ID,125280,7246
6989,Hakkarainen,for,ID,125280,6989
6986,Huhtasaari,for,ID,125280,6986
6404,Jalkh,for,ID,125280,6404
6751,Jamet,for,ID,125280,6751
7017,Joron,for,ID,125280,7017
7016,Juvin,for,ID,125280,7016
6960,Kofod,for,ID,125280,6960
6878,Krah,for,ID,125280,6878
6879,Kuhs,for,ID,125280,6879
7275,Lacapelle,for,ID,125280,7275
6771,Lancini,for,ID,125280,6771
6990,Laporte,for,ID,125280,6990
6372,Lebreton,for,ID,125280,6372
7074,Lechanteux,for,ID,125280,7074
6880,Limmer,for,ID,125280,6880
7002,Lizzi,for,ID,125280,7002
7013,Mariani,for,ID,125280,7013
6627,Mayer,for,ID,125280,6627
6399,Mélin,for,ID,125280,6399
6759,Meuthen,for,ID,125280,6759
7075,Olivier,for,ID,125280,7075
6979,Panza,for,ID,125280,6979
7020,Pirbakas,for,ID,125280,7020
7175,Regimenti,for,ID,125280,7175
6881,Reil,for,ID,125280,6881
7171,Rinaldi,for,ID,125280,7171
7006,Rivière,for,ID,125280,7006
7078,Rougé,for,ID,125280,7078
6968,Sardone,for,ID,125280,6968
7262,Sofo,for,ID,125280,7262
7191,Tardino,for,ID,125280,7191
6970,Tovaglieri,for,ID,125280,6970
7234,Vandendriessche,for,ID,125280,7234
6610,Vilimsky,for,ID,125280,6610
7183,Vuolo,for,ID,125280,7183
6976,Zambelli,for,ID,125280,6976
6414,Zanni,for,ID,125280,6414
6882,Zimniok,for,ID,125280,6882
6468,Adinolfi Isabella,for,NI,125280,6468
6411,Beghin,for,NI,125280,6411
6832,Buschmann,for,NI,125280,6832
7182,Caroppo,for,NI,125280,7182
6446,Castaldo,for,NI,125280,6446
6470,Ferrara,for,NI,125280,6470
7180,Furore,for,NI,125280,7180
7179,Gemma,for,NI,125280,7179
7189,Giarrusso,for,NI,125280,7189
7243,Gyöngyösi,for,NI,125280,7243
7123,Konstantinou,for,NI,125280,7123
7116,Nikolaou-Alavanos,for,NI,125280,7116
6676,Papadakis Kostas,for,NI,125280,6676
7010,Pignedoli,for,NI,125280,7010
7177,Rondinelli,for,NI,125280,7177
7278,Rookmaker,for,NI,125280,7278
7147,Uhrík,for,NI,125280,7147
6695,Zullo,for,NI,125280,6695
6883,Adamowicz,for,PPE,125280,6883
6755,Ademov,for,PPE,125280,6755
7219,Alexandrov Yordanov,for,PPE,125280,7219
7129,Amaro,for,PPE,125280,7129
5980,Arias Echeverría,for,PPE,125280,5980
6594,Arimont,for,PPE,125280,6594
6885,Arłukowicz,for,PPE,125280,6885
7083,Asimakopoulou,for,PPE,125280,7083
7060,Băsescu,for,PPE,125280,7060
6927,Bellamy,for,PPE,125280,6927
7067,Benjumea Benjumea,for,PPE,125280,7067
6807,Bentele,for,PPE,125280,6807
7162,Berendsen,for,PPE,125280,7162
6809,Berger,for,PPE,125280,6809
7037,Bernhuber,for,PPE,125280,7037
7155,Bilčík,for,PPE,125280,7155
7026,Blaga,for,PPE,125280,7026
7025,Bogdan,for,PPE,125280,7025
6613,Bogovič,for,PPE,125280,6613
6617,Buda,for,PPE,125280,6617
5729,Buşoi,for,PPE,125280,5729
5388,Buzek,for,PPE,125280,5388
6039,Carvalho,for,PPE,125280,6039
5252,Casa,for,PPE,125280,5252
5341,Caspary,for,PPE,125280,5341
5236,Christoforou,for,PPE,125280,5236
6600,Clune,for,PPE,125280,6600
6929,Colin-Oesterlé,for,PPE,125280,6929
5981,van Dalen,for,PPE,125280,5981
5921,Danjean,for,PPE,125280,5921
7261,De Meo,for,PPE,125280,7261
6762,Didier,for,PPE,125280,6762
6870,Doleschal,for,PPE,125280,6870
5960,Dorfmann,for,PPE,125280,5960
6903,Duda,for,PPE,125280,6903
6810,Düpont,for,PPE,125280,6810
5348,Ehler,for,PPE,125280,5348
5983,Estaràs Ferragut,for,PPE,125280,5983
6928,Evren,for,PPE,125280,6928
7038,Falcă,for,PPE,125280,7038
3833,Ferber,for,PPE,125280,3833
6068,Fernandes,for,PPE,125280,6068
7108,Fitzgerald,for,PPE,125280,7108
6813,Fourlas,for,PPE,125280,6813
6906,Frankowski,for,PPE,125280,6906
6852,Franssen,for,PPE,125280,6852
4659,Gahler,for,PPE,125280,4659
3980,García-Margallo y Marfil,for,PPE,125280,3980
6441,Gieseke,for,PPE,125280,6441
7253,Glavak,for,PPE,125280,7253
6632,González Pons,for,PPE,125280,6632
6907,Halicki,for,PPE,125280,6907
6777,Hansen,for,PPE,125280,6777
7035,Hava,for,PPE,125280,7035
6811,Herbst,for,PPE,125280,6811
6534,Hetman,for,PPE,125280,6534
5953,Hohlmeier,for,PPE,125280,5953
4987,Hortefeux,for,PPE,125280,4987
5952,Hübner,for,PPE,125280,5952
5945,Jahr,for,PPE,125280,5945
6910,Jarubas,for,PPE,125280,6910
7223,Juknevičienė,for,PPE,125280,7223
5944,Kalinowski,for,PPE,125280,5944
6095,Kalniete,for,PPE,125280,6095
7222,Kanev,for,PPE,125280,7222
4669,Karas,for,PPE,125280,4669
6666,Kefalogiannis,for,PPE,125280,6666
5855,Kelly,for,PPE,125280,5855
6805,Kokalari,for,PPE,125280,6805
6918,Kopacz,for,PPE,125280,6918
7226,Kubilius,for,PPE,125280,7226
7080,Kympouropoulos,for,PPE,125280,7080
6662,Kyrtsos,for,PPE,125280,6662
5727,de Lange,for,PPE,125280,5727
6793,Lega,for,PPE,125280,6793
6592,Lenaers,for,PPE,125280,6592
5105,Lewandowski,for,PPE,125280,5105
7264,Lexmann,for,PPE,125280,7264
3855,Liese,for,PPE,125280,3855
6442,Lins,for,PPE,125280,6442
7161,López Gil,for,PPE,125280,7161
5517,López-Istúriz White,for,PPE,125280,5517
5964,Łukacijewska,for,PPE,125280,5964
6855,Lutgen,for,PPE,125280,6855
6440,McAllister,for,PPE,125280,6440
7218,Maldeikienė,for,PPE,125280,7218
4964,Manders,for,PPE,125280,4964
6761,Mandl,for,PPE,125280,6761
5646,Marinescu,for,PPE,125280,5646
7284,Markey,for,PPE,125280,7284
6465,Martusciello,for,PPE,125280,6465
6096,Mato,for,PPE,125280,6096
6483,Maydell,for,PPE,125280,6483
7224,Mažylis,for,PPE,125280,7224
7051,Meimarakis,for,PPE,125280,7051
6121,Melo,for,PPE,125280,6121
6297,Metsola,for,PPE,125280,6297
7209,Milazzo,for,PPE,125280,7209
5518,Millán Mon,for,PPE,125280,5518
6366,Monteiro de Aguiar,for,PPE,125280,6366
7099,Montserrat,for,PPE,125280,7099
6368,Morano,for,PPE,125280,6368
6825,Mortler,for,PPE,125280,6825
7036,Motreanu,for,PPE,125280,7036
6436,Mureşan,for,PPE,125280,6436
4712,Niebler,for,PPE,125280,4712
6332,Niedermayer,for,PPE,125280,6332
7255,Nistor,for,PPE,125280,7255
5413,Novak,for,PPE,125280,5413
5407,Olbrycht,for,PPE,125280,5407
5702,Patriciello,for,PPE,125280,5702
6819,Peeters,for,PPE,125280,6819
7120,Pereira Lídia,for,PPE,125280,7120
5346,Pieper,for,PPE,125280,5346
5788,Pietikäinen,for,PPE,125280,5788
6335,Polčák,for,PPE,125280,6335
6803,Polfjärd,for,PPE,125280,6803
7149,Pollák,for,PPE,125280,7149
6700,Pospíšil,for,PPE,125280,6700
6488,Radev,for,PPE,125280,6488
6750,Radtke,for,PPE,125280,6750
6072,Rangel,for,PPE,125280,6072
6812,Ressler,for,PPE,125280,6812
7266,Sagartz,for,PPE,125280,7266
6698,Salini,for,PPE,125280,6698
6370,Sander,for,PPE,125280,6370
6259,Sarvamaa,for,PPE,125280,6259
7045,Schmiedtbauer,for,PPE,125280,7045
6821,Schneider,for,PPE,125280,6821
6636,Schreijer-Pierik,for,PPE,125280,6636
6443,Schulze,for,PPE,125280,6443
5345,Schwab,for,PPE,125280,5345
6823,Seekatz,for,PPE,125280,6823
6941,Sikorski,for,PPE,125280,6941
6824,Simon,for,PPE,125280,6824
6790,Skyttedal,for,PPE,125280,6790
6341,Šojdrová,for,PPE,125280,6341
6816,Sokol,for,PPE,125280,6816
6663,Spyraki,for,PPE,125280,6663
6547,Štefanec,for,PPE,125280,6547
4482,Tajani,for,PPE,125280,4482
7277,Terras,for,PPE,125280,7277
7056,Thaler,for,PPE,125280,7056
5949,Thun und Hohenstein,for,PPE,125280,5949
6801,Tobé,for,PPE,125280,6801
7061,Tomac,for,PPE,125280,7061
6681,Tomc,for,PPE,125280,6681
5600,Vaidere,for,PPE,125280,5600
5930,Verheyen,for,PPE,125280,5930
7062,Vincze,for,PPE,125280,7062
6356,Virkkunen,for,PPE,125280,6356
5934,Voss,for,PPE,125280,5934
6664,Vozemberg-Vrionidi,for,PPE,125280,6664
7233,Walsh,for,PPE,125280,7233
6827,Walsmann,for,PPE,125280,6827
6804,Warborn,for,PPE,125280,6804
5351,Weber,for,PPE,125280,5351
6908,Weiss,for,PPE,125280,6908
4643,Wieland,for,PPE,125280,4643
7153,Wiezik,for,PPE,125280,7153
5782,Winkler,for,PPE,125280,5782
7041,Winzig,for,PPE,125280,7041
6820,Wiseler-Lima,for,PPE,125280,6820
6665,Zagorakis,for,PPE,125280,6665
6997,Zarzalejos,for,PPE,125280,6997
7012,Zoido Álvarez,for,PPE,125280,7012
6734,Zovko,for,PPE,125280,6734
6094,Zver,for,PPE,125280,6094
6799,Al-Sahlani,for,Renew,125280,6799
7260,Andrews,for,Renew,125280,7260
6327,Ansip,for,Renew,125280,6327
6400,Auštrevičius,for,Renew,125280,6400
7165,Azmani,for,Renew,125280,7165
7163,Bauzá Díaz,for,Renew,125280,7163
6835,Beer,for,Renew,125280,6835
6944,Bijoux,for,Renew,125280,6944
7057,Botoş,for,Renew,125280,7057
6967,Boyer,for,Renew,125280,6967
6966,Brunet,for,Renew,125280,6966
6973,Cañas,for,Renew,125280,6973
5891,Canfin,for,Renew,125280,5891
6899,Chabaud,for,Renew,125280,6899
6339,Charanzová,for,Renew,125280,6339
6860,Chastel,for,Renew,125280,6860
6951,Christensen,for,Renew,125280,6951
7271,Cicurel,for,Renew,125280,7271
7021,Cioloş,for,Renew,125280,7021
6978,Cseh,for,Renew,125280,6978
6458,Danti,for,Renew,125280,6458
6898,Decerle,for,Renew,125280,6898
6340,Dlabajová,for,Renew,125280,6340
6987,Donáth,for,Renew,125280,6987
6324,Durand,for,Renew,125280,6324
6980,Farreng,for,Renew,125280,6980
6601,Federley,for,Renew,125280,6601
6818,Flego,for,Renew,125280,6818
6948,Gade,for,Renew,125280,6948
7022,Gamon,for,Renew,125280,7022
6947,Garicano,for,Renew,125280,6947
7283,Gheorghe,for,Renew,125280,7283
7050,Ghinea,for,Renew,125280,7050
6840,Glück,for,Renew,125280,6840
1793,Goerens,for,Renew,125280,1793
7273,Gozi,for,Renew,125280,7273
7164,Groothuis,for,Renew,125280,7164
6849,Grošelj,for,Renew,125280,6849
6950,Grudler,for,Renew,125280,6950
6936,Guetta,for,Renew,125280,6936
6841,Hahn Svenja,for,Renew,125280,6841
6959,Hayer,for,Renew,125280,6959
6919,Hlaváček,for,Renew,125280,6919
7154,Hojsík,for,Renew,125280,7154
6622,Huitema,for,Renew,125280,6622
7014,Ijabs,for,Renew,125280,7014
5385,in  't Veld,for,Renew,125280,5385
6844,Joveva,for,Renew,125280,6844
6975,Karleskind,for,Renew,125280,6975
6800,Karlsbro,for,Renew,125280,6800
7203,Kelleher,for,Renew,125280,7203
5021,Keller Fabienne,for,Renew,125280,5021
6921,Knotek,for,Renew,125280,6921
6842,Körner,for,Renew,125280,6842
6917,Kovařík,for,Renew,125280,6917
6887,Loiseau,for,Renew,125280,6887
5889,Løkkegaard,for,Renew,125280,5889
6957,Melchior,for,Renew,125280,6957
6500,Müller,for,Renew,125280,6500
6760,Nagtegaal,for,Renew,125280,6760
6614,Nart,for,Renew,125280,6614
6830,Oetjen,for,Renew,125280,6830
6705,Paet,for,Renew,125280,6705
6644,Pagazaurtundúa,for,Renew,125280,6644
6953,Pekkarinen,for,Renew,125280,6953
6510,Petersen,for,Renew,125280,6510
7052,Pîslaru,for,Renew,125280,7052
7235,Rafaela,for,Renew,125280,7235
4676,Ries,for,Renew,125280,4676
6056,Riquet,for,Renew,125280,6056
4767,Rodríguez Ramos,for,Renew,125280,4767
7236,Schreinemacher,for,Renew,125280,7236
6902,Séjourné,for,Renew,125280,6902
6817,Semedo,for,Renew,125280,6817
7152,Šimečka,for,Renew,125280,7152
7168,Solís Pérez,for,Renew,125280,7168
7055,Ştefănuță,for,Renew,125280,7055
7058,Strugariu,for,Renew,125280,7058
7259,Søgaard-Lidell,for,Renew,125280,7259
6940,Tolleret,for,Renew,125280,6940
6331,Toom,for,Renew,125280,6331
6281,Torvalds,for,Renew,125280,6281
6985,Trillet-Lenoir,for,Renew,125280,6985
7054,Tudorache,for,Renew,125280,7054
5879,Uspaskich,for,Renew,125280,5879
6710,Vautmans,for,Renew,125280,6710
6896,Vedrenne,for,Renew,125280,6896
6159,Verhofstadt,for,Renew,125280,6159
7268,Vázquez Lázara,for,Renew,125280,7268
6971,Yon-Courtin,for,Renew,125280,6971
6892,Zacharopoulou,for,Renew,125280,6892
6279,Andrieu,for,S&D,125280,6279
6687,Androulakis,for,S&D,125280,6687
6977,Ara-Kovács,for,S&D,125280,6977
7193,Bartolo,for,S&D,125280,7193
6505,Benifei,for,S&D,125280,6505
6796,Bergkvist,for,S&D,125280,6796
7008,Calenda,for,S&D,125280,7008
6499,Chinnici,for,S&D,125280,6499
6806,Danielsson,for,S&D,125280,6806
6062,De Castro,for,S&D,125280,6062
6969,Dobrev,for,S&D,125280,6969
6770,Ferrandino,for,S&D,125280,6770
6791,Fritzon,for,S&D,125280,6791
7082,Glucksmann,for,S&D,125280,7082
7009,Gualmini,for,S&D,125280,7009
6107,Guillaume,for,S&D,125280,6107
6603,Guteland,for,S&D,125280,6603
7070,Heide,for,S&D,125280,7070
6792,Incir,for,S&D,125280,6792
6686,Kaili,for,S&D,125280,6686
7085,Lalucq,for,S&D,125280,7085
7086,Larrouturou,for,S&D,125280,7086
6984,Majorino,for,S&D,125280,6984
6322,Mavrides,for,S&D,125280,6322
7272,Mebarek,for,S&D,125280,7272
6351,Molnár,for,S&D,125280,6351
6433,Moretti,for,S&D,125280,6433
6323,Papadakis Demetris,for,S&D,125280,6323
6484,Picierno,for,S&D,125280,6484
6982,Pisapia,for,S&D,125280,6982
6136,Regner,for,S&D,125280,6136
7186,Roberti,for,S&D,125280,7186
6974,Rónai,for,S&D,125280,6974
7059,Schieder,for,S&D,125280,7059
7065,Sidl,for,S&D,125280,7065
7176,Smeriglio,for,S&D,125280,7176
6983,Tinagli,for,S&D,125280,6983
5459,Toia,for,S&D,125280,5459
7066,Vollath,for,S&D,125280,7066
7280,Ripa,for,Verts/ALE,125280,7280
7151,Jurzyca,against,ECR,125280,7151
5892,Tošenovský,against,ECR,125280,5892
6930,Vondra,against,ECR,125280,6930
6945,Vrecionová,against,ECR,125280,6945
5052,Zahradil,against,ECR,125280,5052
6873,Botenga,against,GUE/NGL,125280,6873
7113,Daly,against,GUE/NGL,125280,7113
6024,Ernst,against,GUE/NGL,125280,6024
7133,Gusmão,against,GUE/NGL,125280,7133
5992,Matias,against,GUE/NGL,125280,5992
6354,Maurel,against,GUE/NGL,125280,6354
7202,Wallace,against,GUE/NGL,125280,7202
6630,de Graaff,against,ID,125280,6630
6494,Corrao,against,Verts/ALE,125280,6494
6472,D'Amato,against,Verts/ALE,125280,6472
