mepid,mep,result,group,identifier
5682,Ali,for,ALDE,97437
6407,Arthuis,for,ALDE,97437
6400,Auštrevičius,for,ALDE,97437
6110,Bearder,for,ALDE,97437
6646,Becerra Basterrechea,for,ALDE,97437
6089,Bilbao Barandica,for,ALDE,97437
6708,Calvet Chambon,for,ALDE,97437
5328,Cavada,for,ALDE,97437
6339,Charanzová,for,ALDE,97437
4761,Cornillet,for,ALDE,97437
1060,Deprez,for,ALDE,97437
6340,Dlabajová,for,ALDE,97437
6601,Federley,for,ALDE,97437
6724,Giménez Barbat,for,ALDE,97437
1793,Goerens,for,ALDE,97437
6779,Gräzin,for,ALDE,97437
5330,Griesbeck,for,ALDE,97437
5246,Harkin,for,ALDE,97437
6043,Hirsch,for,ALDE,97437
6622,Huitema,for,ALDE,97437
5681,Hyusmenova,for,ALDE,97437
5385,in 't Veld,for,ALDE,97437
5433,Jäätteenmäki,for,ALDE,97437
6388,Jakovčić,for,ALDE,97437
6338,Ježek,for,ALDE,97437
6766,Katainen,for,ALDE,97437
5364,Klinz,for,ALDE,97437
5889,Løkkegaard,for,ALDE,97437
6376,Marinho e Pinto,for,ALDE,97437
6402,Mazuronis,for,ALDE,97437
6041,Meissner,for,ALDE,97437
5857,Michel,for,ALDE,97437
6690,Mihaylova,for,ALDE,97437
6626,van Miltenburg,for,ALDE,97437
6631,Mlinar,for,ALDE,97437
6760,Nagtegaal,for,ALDE,97437
6705,Paet,for,ALDE,97437
6644,Pagazaurtundúa Ruiz,for,ALDE,97437
6510,Petersen,for,ALDE,97437
6728,Punset,for,ALDE,97437
4676,Ries,for,ALDE,97437
5890,Rohde,for,ALDE,97437
6100,Schaake,for,ALDE,97437
6722,Selimovic,for,ALDE,97437
6337,Telička,for,ALDE,97437
6331,Toom,for,ALDE,97437
6281,Torvalds,for,ALDE,97437
6181,Tremosa i Balcells,for,ALDE,97437
5879,Uspaskich,for,ALDE,97437
6151,Vajgl,for,ALDE,97437
6710,Vautmans,for,ALDE,97437
6774,Vehkaperä,for,ALDE,97437
6159,Verhofstadt,for,ALDE,97437
6729,Wierinck,for,ALDE,97437
5864,Wikström,for,ALDE,97437
6291,Demesmaeker,for,ECR,97437
5996,Macovei,for,ECR,97437
6782,Packet,for,ECR,97437
6682,Stevens,for,ECR,97437
6711,Van Bossuyt,for,ECR,97437
6468,Adinolfi,for,EFDD,97437
6445,Agea,for,EFDD,97437
6480,Aiuto,for,EFDD,97437
6411,Beghin,for,EFDD,97437
6446,Castaldo,for,EFDD,97437
6494,Corrao,for,EFDD,97437
6472,D'Amato,for,EFDD,97437
6413,Evi,for,EFDD,97437
6470,Ferrara,for,EFDD,97437
6497,Moi,for,EFDD,97437
6482,Pedicini,for,EFDD,97437
6447,Tamburrano,for,EFDD,97437
6412,Valli,for,EFDD,97437
6695,Zullo,for,EFDD,97437
6280,Anderson Martina,for,GUE/NGL,97437
6604,Björk,for,GUE/NGL,97437
6595,Boylan,for,GUE/NGL,97437
6598,Carthy,for,GUE/NGL,97437
6660,Chrysogonos,for,GUE/NGL,97437
6501,Eck,for,GUE/NGL,97437
6597,Flanagan,for,GUE/NGL,97437
6693,Forenza,for,GUE/NGL,97437
6628,Hazekamp,for,GUE/NGL,97437
5922,de Jong,for,GUE/NGL,97437
6313,Kari,for,GUE/NGL,97437
6713,Kouloglou,for,GUE/NGL,97437
6369,Kyllönen,for,GUE/NGL,97437
5909,Le Hyaric,for,GUE/NGL,97437
5992,Matias,for,GUE/NGL,97437
6354,Maurel,for,GUE/NGL,97437
6310,Michels,for,GUE/NGL,97437
6643,Mineur,for,GUE/NGL,97437
6599,Ní Riada,for,GUE/NGL,97437
6674,Sakorafa,for,GUE/NGL,97437
5837,Scholz,for,GUE/NGL,97437
6444,Spinelli,for,GUE/NGL,97437
6030,Vergiat,for,GUE/NGL,97437
6747,Vieu,for,GUE/NGL,97437
5368,Zimmer,for,GUE/NGL,97437
6048,Balczó,for,NI,97437
6430,Borrelli,for,NI,97437
6514,Karlsson,for,NI,97437
6594,Arimont,for,PPE,97437
5262,Ashworth,for,PPE,97437
5885,Bendtsen,for,PPE,97437
6535,Boni,for,PPE,97437
5252,Casa,for,PPE,97437
6600,Clune,for,PPE,97437
5861,Corazza Bildt,for,PPE,97437
6762,Didier,for,PPE,97437
6679,Faria,for,PPE,97437
5256,Fjellner,for,PPE,97437
6615,Gambús,for,PPE,97437
5109,Grzyb,for,PPE,97437
6596,Hayes,for,PPE,97437
5018,Herranz García,for,PPE,97437
6534,Hetman,for,PPE,97437
5952,Hübner,for,PPE,97437
5954,Jazłowiecka,for,PPE,97437
5855,Kelly,for,PPE,97437
6527,Kozłowska-Rajewicz,for,PPE,97437
5403,Kudrycka,for,PPE,97437
1350,Lamassoure,for,PPE,97437
6363,Lavrilleux,for,PPE,97437
5105,Lewandowski,for,PPE,97437
5964,Łukacijewska,for,PPE,97437
5245,McGuinness,for,PPE,97437
